day,sess,symbol,reason,source,intent
2015-03-23,am,sh.600177,take_half,2015-03-23,profit
2015-03-27,am,sh.600177,clear,2015-03-27,profit
2015-04-07,am,sz.000548,take_half,2015-04-07,profit
2015-04-07,pm,sz.000548,take_half,2015-04-07,profit
2015-04-08,pm,sz.000548,clear,2015-04-08,profit
2015-04-13,am,sz.000748,take_half,2015-04-13,profit
2015-05-05,pm,sh.600536,stop,2015-05-05,risk
2015-05-13,am,sz.000748,clear,2015-05-13,profit
2015-09-24,am,sz.000024,protection,2015-09-24,risk
2015-09-24,pm,sz.000024,protection,2015-09-24,risk
2015-11-27,pm,sz.002621,stop,2015-11-27,risk
2015-12-01,am,sz.002095,protection,2015-12-01,risk
2015-12-09,pm,sh.603088,stop,2015-12-09,risk
2015-12-10,am,sh.603088,stop,2015-12-09,risk
2016-01-07,am,sh.603288,stop,2016-01-07,risk
2016-01-07,pm,sh.603288,stop,2016-01-07,risk
2016-05-18,am,sz.000036,stop,2016-05-18,risk
2016-05-26,am,sh.601199,stop,2016-05-26,risk
2016-06-02,am,sz.002508,stop,2016-06-02,risk
2016-06-02,pm,sz.002508,stop,2016-06-02,risk
2016-06-15,am,sz.000961,stop,2016-06-15,risk
2016-07-27,pm,sh.601689,stop,2016-07-27,risk
2016-07-27,pm,sz.000887,account_trim,2016-06-30,risk
2016-07-27,pm,sz.002032,account_trim,2016-06-30,risk
2016-07-27,pm,sz.002596,account_trim,2016-06-30,risk
2016-07-28,am,sh.601689,stop,2016-07-27,risk
2016-09-02,pm,sz.000887,stop,2016-09-02,risk
2016-09-12,am,sz.002596,stop,2016-09-12,risk
2016-10-11,am,sz.002411,account_trim,2016-09-30,risk
2016-11-04,am,sz.002032,stop,2016-11-04,risk
2016-11-16,am,sz.002411,take_half,2016-11-16,profit
2016-11-21,am,sz.002647,account_trim,2016-10-31,risk
2016-11-24,pm,sz.002491,stop,2016-11-24,risk
2016-12-05,am,sz.002647,take_half,2016-12-05,profit
2016-12-05,pm,sz.002647,take_half,2016-12-05,profit
2016-12-07,am,sh.600228,account_trim,2016-11-30,risk
2016-12-07,pm,sh.600228,take_half,2016-12-07,profit
2016-12-16,pm,sh.600228,clear,2016-12-16,profit
2016-12-19,am,sh.600228,clear,2016-12-16,risk
2016-12-26,am,sh.600383,stop,2016-12-26,risk
2016-12-30,pm,sh.600475,stop,2016-12-30,risk
2017-03-30,am,sz.002411,protection,2017-03-30,risk
2017-04-05,am,sz.000725,account_trim,2017-03-31,risk
2017-04-20,pm,sz.000725,take_half,2017-04-20,profit
2017-04-27,am,sh.600764,stop,2017-04-27,risk
2017-05-03,am,sz.000725,clear,2017-05-03,profit
2017-06-13,am,sz.002647,stop,2017-06-13,risk
2017-08-11,am,sz.002411,stop,2017-08-11,risk
2017-08-11,pm,sz.002411,stop,2017-08-11,risk
2017-08-23,pm,sh.600303,stop,2017-08-23,risk
2017-09-29,am,sz.000657,stop,2017-09-29,risk
2017-10-18,pm,sz.002057,stop,2017-10-18,risk
2017-10-19,pm,sz.002408,stop,2017-10-19,risk
2017-12-06,pm,sh.600315,stop,2017-12-06,risk
2018-01-17,pm,sh.600179,stop,2018-01-17,risk
2018-01-31,pm,sz.002596,stop,2018-01-31,risk
2018-05-22,am,sz.000673,stop,2018-05-22,risk
2018-08-03,pm,sz.000810,stop,2018-08-03,risk
2018-08-06,am,sz.000810,stop,2018-08-03,risk
2018-10-15,am,sz.002030,stop,2018-10-15,risk
2019-01-30,am,sh.600766,stop,2019-01-30,risk
2019-07-22,am,sz.002726,stop,2019-07-22,risk
2019-07-22,pm,sz.002726,stop,2019-07-22,risk
2019-07-23,am,sz.002726,stop,2019-07-22,risk
2019-07-25,am,sh.600546,account_trim,2019-06-28,risk
2019-07-25,pm,sh.600546,account_trim,2019-06-28,risk
2019-08-06,am,sh.601009,stop,2019-08-06,risk
2019-08-30,pm,sh.603803,stop,2019-08-30,risk
2019-09-23,pm,sz.002436,account_trim,2019-08-30,risk
2019-09-26,am,sh.600546,protection,2019-09-26,risk
2019-09-30,pm,sz.002436,protection,2019-09-30,risk
2020-01-02,am,sh.601066,account_trim,2019-12-31,risk
2020-01-06,am,sz.002465,account_trim,2019-12-31,risk
2020-01-13,pm,sz.002465,take_half,2020-01-13,profit
2020-01-22,pm,sh.601066,take_half,2020-01-22,profit
2020-02-11,am,sz.002791,take_half,2020-02-11,profit
2020-02-12,pm,sz.002791,clear,2020-02-12,profit
2020-02-24,am,sz.002465,clear,2020-02-24,profit
2020-03-05,am,sh.601066,clear,2020-03-05,profit
2020-03-05,pm,sh.601066,clear,2020-03-05,risk
2020-03-06,am,sh.601066,clear,2020-03-05,risk
2020-07-10,pm,sh.600350,stop,2020-07-10,risk
2020-07-10,pm,sz.002432,account_trim,2020-06-30,risk
2020-07-13,am,sz.002185,account_trim,2020-06-30,risk
2020-07-13,pm,sz.002185,take_half,2020-07-13,profit
2020-07-16,pm,sh.600216,protection,2020-07-16,risk
2020-07-24,pm,sz.002185,protection,2020-07-24,risk
2020-07-27,pm,sz.002432,protection,2020-07-27,risk
2020-08-26,pm,sz.000903,stop,2020-08-26,risk
2020-08-27,am,sz.000903,stop,2020-08-26,risk
2020-09-08,am,sh.601038,stop,2020-09-08,risk
2020-10-23,am,sh.603338,stop,2020-10-23,risk
2020-11-10,am,sz.002438,stop,2020-11-10,risk
2020-11-13,am,sz.002241,stop,2020-11-13,risk
2020-11-19,am,sz.000333,take_half,2020-11-19,profit
2020-12-09,am,sh.600363,stop,2020-12-09,risk
2020-12-09,pm,sh.600363,stop,2020-12-09,risk
2020-12-10,am,sh.600363,stop,2020-12-09,risk
2020-12-29,am,sh.603665,stop,2020-12-29,risk
2020-12-29,pm,sh.603665,stop,2020-12-29,risk
2020-12-30,am,sh.603665,stop,2020-12-29,risk
2020-12-30,pm,sh.603665,stop,2020-12-29,risk
2020-12-31,am,sh.603665,stop,2020-12-29,risk
2020-12-31,pm,sh.603665,stop,2020-12-29,risk
